Exact Number;Rounded Number for BQ;Rounded Number for AQ
0.1;0.1;1/10
0.115;0.12;1/9
0.133;0.15;1/8
0.154;0.18;1/6
0.178;0.2;1/6
0.205;0.22;1/5
0.237;0.25;1/4
0.274;0.28;1/4
0.316;0.3;1/3
0.365;0.35;3/8
0.422;0.4;2/5
0.487;0.5;1/2
0.562;0.6;3/5
0.649;0.7;2/3
0.75;0.8;3/4
0.866;0.9;7/8
1;1;1
1.15;1.2;1+1/4
1.33;1.5;1+1/2
1.54;1.8;1+3/4
1.78;2;2
2.05;2.2;2+1/4
2.37;2.5;2+1/2
2.74;2.8;2+3/4
3.16;3;3
3.65;3.5;3+1/2
4.22;4;4
4.87;5;5
5.62;6;6
6.49;7;7
7.5;8;8
8.66;9;9
10;10;10
11.5;12;12
13.3;15;15
15.4;18;18
17.8;20;20
20.5;22;22
23.7;25;25
27.4;28;28
31.6;30;30
36.5;35;35
42.2;40;40
48.7;50;50
56.2;60;60
64.9;70;70
75;80;80
86.6;90;90
100;100;100
115;120;120
133;150;150
154;180;180
178;200;200
205;220;220
237;250;250
274;280;280
316;300;300
365;350;350
422;400;400
487;500;500
562;600;600
649;700;700
750;800;800
866;900;900
1000;1000;1000
